_id,endereco,latitude,longitude
cam-10-100-1-77,"Av. Lateral Sul, 645 - Acaracuzinho, Maracanaú - CE, PROX. Emeief Antonio Gondim de Lima",-3.850306,-38.614917
cam-10-100-1-78,"Olho D'Água, Maracanaú - CE, 61909-100",-3.917444,-38.624028
cam-10-100-1-79,"Av. dos Estruturantes, 93-1 - Antonio Justa, Maracanaú - CE, 61903-010",-3.883139,-38.631194
cam-10-100-1-83,,-3.879914,-38.624767
cam-10-100-1-84,,-3.852778,-38.668233
cam-10-100-1-85,"Av. Contôrno Leste,nº 487 - Timbó",-3.879417,-38.598719
cam-10-100-1-86,"Av. III , nº 475 - CENTRO",-3.877019,-38.615758
cam-10-100-1-87,"Travessa Antônio Batista,133 - Mucunã",-3.842658,-38.659497
cam-10-100-1-88,"Av. Estruturante Oeste, 2 - Antonio Justa, Maracanaú",-3.881917,-38.630833
cam-10-100-1-90,Av Contorno norte c/ av. Parque central - Distrito Industrial,-3.873506,-38.610544
cam-10-100-1-91,"Av. Central Norte - Acaracuzinho, Maracanaú - CE, 61920-690",-3.848633,-38.614158
cam-10-100-1-92,"rua. Beatriz Calisto,nº300 X Joâo Henrique da Silva S/N - PAJUÇARA",-3.86275,-38586
cam-10-100-1-94,"      CE-060 ,Nº 2290          ",-3.848475,-38.586708
cam-10-100-1-61,,0,0
cam-10-100-1-72,,0,0
cam-10-100-1-89,,0,0
cam-10-100-1-93,,0,0
cam-10-100-1-96,,0,0
