hex_id,janela_tempo,contagem_bruta,score_risco_total,hora,dia_semana,hora_sin,hora_cos,dia_sin,dia_cos,peso_cobertura
8980020a973ffff,2026-03-26 12:00:00,1,6.0,12,3,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0.0
8980020b56bffff,2026-04-04 18:00:00,1,1.0,18,5,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0.0
8980020c30bffff,2026-03-26 12:00:00,1,6.0,12,3,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0.0
8980020c30bffff,2026-04-06 00:00:00,1,1.0,0,0,0.0,1.0,0.0,1.0,0.0
8980020c86bffff,2026-03-28 18:00:00,1,6.0,18,5,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0.0
8980020c91bffff,2026-04-09 12:00:00,1,8.0,12,3,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0.0
8980020ca07ffff,2026-03-28 00:00:00,1,1.0,0,5,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0.0
8980020ca07ffff,2026-03-31 00:00:00,1,1.0,0,1,0.0,1.0,0.7818314824680298,0.6234898018587336,0.0
8980020ca0fffff,2026-03-06 18:00:00,1,3.0,18,4,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0.0
8980020ca0fffff,2026-04-02 18:00:00,1,1.0,18,3,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0.0
8980020ca17ffff,2026-02-20 18:00:00,1,6.0,18,4,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0.0
8980020ca1bffff,2026-02-26 18:00:00,1,8.0,18,3,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0.0
8980020ca1bffff,2026-03-04 12:00:00,1,4.0,12,2,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.0
8980020ca1bffff,2026-03-07 12:00:00,2,14.0,12,5,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0.0
8980020ca1bffff,2026-03-08 06:00:00,1,4.0,6,6,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.0
8980020ca1bffff,2026-03-14 12:00:00,1,9.0,12,5,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0.0
8980020ca1bffff,2026-03-17 18:00:00,1,8.0,18,1,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0.0
8980020ca1bffff,2026-03-26 12:00:00,1,8.0,12,3,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0.0
8980020ca43ffff,2026-03-11 06:00:00,1,4.0,6,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.0
8980020ca47ffff,2026-03-26 12:00:00,1,6.0,12,3,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0.0
8980020ca4bffff,2026-02-19 06:00:00,1,6.0,6,3,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.0
8980020ca4bffff,2026-02-23 00:00:00,1,8.5,0,0,0.0,1.0,0.0,1.0,0.0
8980020ca4bffff,2026-02-23 18:00:00,1,6.0,18,0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.0
8980020ca4bffff,2026-02-27 12:00:00,1,10.0,12,4,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.0
8980020ca4bffff,2026-03-08 00:00:00,1,7.0,0,6,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.0
8980020ca4bffff,2026-03-08 06:00:00,1,8.0,6,6,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.0
8980020ca4bffff,2026-03-29 18:00:00,1,2.0,18,6,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0.0
8980020ca4bffff,2026-04-03 00:00:00,2,2.0,0,4,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.0
8980020ca4bffff,2026-04-05 18:00:00,1,1.0,18,6,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0.0
8980020ca4bffff,2026-04-10 00:00:00,1,1.0,0,4,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.0
8980020ca4bffff,2026-04-10 06:00:00,1,8.0,6,4,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.0
8980020ca4fffff,2026-03-04 06:00:00,1,8.0,6,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.0
8980020ca4fffff,2026-04-01 18:00:00,1,8.5,18,2,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.0
