"ocorrencia","tipo_desc","latitude","longitude","created_at"
M20260294178,TENTATIVA DE HOMICÍDIO,-3.783386107063523,-38.55150116579562,2026-04-15 13:50:28.202 -0300
M20260294191,PERTURBAÇÃO AO SOSSEGO ALHEIO,-5.07244182322247,-37.9891734094855,2026-04-15 14:00:29.601 -0300
M20260294189,ROUBO DE VEÍCULO,-3.7555358859512693,-38.54498028262031,2026-04-15 14:00:29.635 -0300
M20260294186,DISPARO DE ARMA,-3.7292268213624133,-38.47326005240918,2026-04-15 14:00:29.639 -0300
M20260294204,MARIA DA PENHA,-3.781094833217337,-38.51248878509916,2026-04-15 14:20:30.057 -0300
M20260294199,MARIA DA PENHA,-3.7207638334243662,-38.46526719029519,2026-04-15 14:20:30.090 -0300
M20260294224,LESÃO CORPORAL,-3.7389605699581665,-38.568237765113984,2026-04-15 14:30:28.913 -0300
M20260294220,VIOLAÇÃO DA MONITORAÇÃO ELETRÔNICA DE PESSOAS,-3.8407709643395793,-38.52329714818396,2026-04-15 14:30:28.917 -0300
M20260294213,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7595762738997904,-38.51399931504189,2026-04-15 14:30:28.921 -0300
M20260294212,VIOLAÇÃO DA MONITORAÇÃO ELETRÔNICA DE PESSOAS,-4.707860165284991,-40.57468055422486,2026-04-15 14:30:28.924 -0300
M20260294238,MARIA DA PENHA,-3.792711826749334,-38.56561914945343,2026-04-15 14:40:29.739 -0300
M20260294237,PERTURBAÇÃO AO SOSSEGO ALHEIO,-4.9678496453192,-39.0591072928842,2026-04-15 14:40:29.779 -0300
M20260294236,DISPARO DE ARMA,-3.989320427831877,-38.737585466354474,2026-04-15 14:40:29.783 -0300
M20260294249,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.8823241032626665,-38.610949040312825,2026-04-15 14:50:28.427 -0300
M20260294244,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.74387241954421,-38.50506254926283,2026-04-15 14:50:28.460 -0300
M20260294256,MARIA DA PENHA,-4.35215856255757,-39.31483868028997,2026-04-15 15:00:28.566 -0300
M20260294253,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7277236551255584,-38.55315712129508,2026-04-15 15:00:28.602 -0300
M20260294252,TRÁFICO,-2.9163131590063567,-40.84338764525977,2026-04-15 15:00:28.606 -0300
M20260294251,MARIA DA PENHA,-4.350385515398149,-39.314606325047656,2026-04-15 15:00:28.609 -0300
M20260294263,TRÁFICO,-6.383778821889642,-39.30640675077549,2026-04-15 15:10:28.792 -0300
M20260294262,GRUPO CRIMINOSO,-3.687495484872269,-40.36297367619007,2026-04-15 15:10:28.798 -0300
M20260294261,FURTO,-3.7459983225022127,-38.523848257172496,2026-04-15 15:10:28.802 -0300
M20260294259,MARIA DA PENHA,-3.8256514448422214,-38.46687003090128,2026-04-15 15:10:28.805 -0300
M20260294258,PORTE ILEGAL DE ARMA,-3.748411919518353,-38.52228655648527,2026-04-15 15:10:28.809 -0300
M20260294279,MARIA DA PENHA,-4.9617254400437165,-39.005234223635306,2026-04-15 15:20:28.712 -0300
M20260294270,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.203524276759214,-39.31769064412651,2026-04-15 15:20:28.752 -0300
M20260294292,PORTE ILEGAL DE ARMA,-3.8317013239612328,-38.56768287438802,2026-04-15 15:30:29.322 -0300
M20260294286,MARIA DA PENHA,-3.835748266252405,-38.4762171152688,2026-04-15 15:30:29.358 -0300
M20260294285,PORTE ILEGAL DE ARMA,-3.7027162128843165,-40.33369515915058,2026-04-15 15:30:29.361 -0300
M20260294284,ROUBO DE VEÍCULO,-3.1203285436871093,-40.82834535500369,2026-04-15 15:30:29.364 -0300
M20260294306,LESÃO CORPORAL,-7.223870397705266,-39.3123516194284,2026-04-15 15:40:28.569 -0300
M20260294304,ROUBO,-3.7622119076754643,-38.440722828995796,2026-04-15 15:40:28.608 -0300
M20260294303,TRÁFICO,-2.9004620410619535,-40.84177822794925,2026-04-15 15:40:28.611 -0300
M20260294302,PORTE ILEGAL DE ARMA,-4.941031939655625,-37.9759492168617,2026-04-15 15:40:28.615 -0300
M20260294298,FURTO,-3.7209224360352446,-38.5394236513442,2026-04-15 15:40:28.618 -0300
M20260294320,TRÁFICO,-3.790807851191603,-38.59189569289558,2026-04-15 15:50:34.403 -0300
M20260294313,MARIA DA PENHA,-3.8163512437052347,-38.58247888326561,2026-04-15 15:50:34.439 -0300
M20260294336,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.881934481037363,-38.623536695735794,2026-04-15 16:00:30.024 -0300
M20260294333,FURTO,-3.816238761634705,-38.50745077604097,2026-04-15 16:00:30.057 -0300
M20260294329,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.890329658459852,-38.614791248880174,2026-04-15 16:00:30.061 -0300
M20260294326,MARIA DA PENHA,-3.7381107352724,-38.64157266101076,2026-04-15 16:00:30.064 -0300
M20260294344,IMPORTUNAÇÃO SEXUAL,-3.728025385628162,-38.52967073445155,2026-04-15 16:10:28.203 -0300
M20260294343,FURTO,-3.766851151990957,-38.515233393862246,2026-04-15 16:10:28.238 -0300
M20260294340,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.824200713355491,-38.46334785216588,2026-04-15 16:10:28.242 -0300
M20260294353,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.902002195121519,-38.68460834254178,2026-04-15 16:20:29.075 -0300
M20260294352,MARIA DA PENHA,-3.795541610313868,-38.569201989388596,2026-04-15 16:20:29.109 -0300
M20260294350,EMBRIAGUEZ E DESORDEM,-7.3917447990707394,-38.772742157063114,2026-04-15 16:20:29.112 -0300
M20260294370,MARIA DA PENHA,-7.225808599766082,-39.29177025703824,2026-04-15 16:30:28.710 -0300
M20260294365,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.084661490726503,-40.17204939984505,2026-04-15 16:30:28.744 -0300
M20260294391,ROUBO,-4.046826998282055,-38.631484592397,2026-04-15 16:40:30.226 -0300
